date,open,high,low,close,volume
2012-05-25,27.58,31.34,27.12,29.81,6894400.0
2012-05-18,31.92,32.13,26.83,27.56,6989200.0
2012-05-11,31.96,34.68,29.37,32.25,12980700.0
2012-05-04,33.27,34.39,31.4,31.83,3659000.0
2012-04-27,32.86,33.63,31.0,33.34,3293800.0
2012-04-20,33.41,33.7299,31.53,33.16,4634900.0
2012-04-13,34.1,34.48,32.01,33.59,6292400.0
2012-04-05,37.33,38.4696,34.41,34.48,8117900.0
2012-03-30,35.59,39.95,35.0414,37.24,8317500.0
2012-03-23,35.26,35.32,33.15,34.08,3882800.0
2012-03-16,34.69,36.59,34.6,35.32,5117300.0
2012-03-09,34.35,35.31,32.62,34.74,3592400.0
2012-03-02,33.41,34.5,33.0,34.04,3007400.0
2012-02-24,34.87,34.97,32.5,33.75,4570700.0
2012-02-17,31.55,34.97,30.9,34.97,9326900.0
2012-02-10,31.1,32.9,29.84,31.1,5448700.0
2012-02-03,29.49,31.33,28.529,31.15,3778800.0
2012-01-27,26.81,29.72,26.4399,29.33,4083300.0
